Started at Wed Nov 13 08:26:45 CET 2024
11/13 08:26:49 - mmengine - INFO - Iter(test) [1350/2000]    eta: 0:04:12  time: 0.0838  data_time: 0.0017  memory: 17002  
Processing corruption type: glass_blur
11/13 08:27:09 - mmengine - INFO - Iter(test) [1400/2000]    eta: 0:03:53  time: 0.5136  data_time: 0.0017  memory: 17021  
11/13 08:27:18 - mmengine - INFO - Iter(test) [1450/2000]    eta: 0:03:29  time: 0.4447  data_time: 0.0017  memory: 17009  
11/13 08:27:22 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:03:05  time: 0.0808  data_time: 0.0016  memory: 720  
11/13 08:27:28 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:02:43  time: 0.0890  data_time: 0.0017  memory: 16952  
11/13 08:27:32 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:02:22  time: 0.0832  data_time: 0.0018  memory: 1600  
11/13 08:27:44 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:02:02  time: 0.0779  data_time: 0.0016  memory: 17024  
11/13 08:27:55 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:01:44  time: 0.0862  data_time: 0.0019  memory: 17015  
11/13 08:28:05 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:01:25  time: 0.0893  data_time: 0.0016  memory: 17004  
11/13 08:28:12 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:01:07  time: 0.0884  data_time: 0.0019  memory: 17004  
11/13 08:28:17 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:00:49  time: 0.0886  data_time: 0.0019  memory: 670  
11/13 08:28:25 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:00:32  time: 0.0910  data_time: 0.0017  memory: 17027  
11/13 08:28:35 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:00:16  time: 0.0822  data_time: 0.0017  memory: 17008  
11/13 08:28:43 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 0.0778  data_time: 0.0014  memory: 16956  
11/13 08:28:43 - mmengine - INFO - per class results:
11/13 08:28:43 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
11/13 10:27:22 - mmengine - INFO - Iter(test) [1000/2000]    eta: 1:57:29  time: 6.3455  data_time: 0.0015  memory: 17000  
11/13 10:33:14 - mmengine - INFO - Iter(test) [1050/2000]    eta: 1:51:36  time: 7.4648  data_time: 0.0016  memory: 17027  
11/13 10:39:00 - mmengine - INFO - Iter(test) [1100/2000]    eta: 1:45:38  time: 6.5940  data_time: 0.0016  memory: 17014  
11/13 10:44:33 - mmengine - INFO - Iter(test) [1150/2000]    eta: 1:39:32  time: 6.7995  data_time: 0.0035  memory: 17006  
11/13 10:50:08 - mmengine - INFO - Iter(test) [1200/2000]    eta: 1:33:30  time: 6.4032  data_time: 0.0016  memory: 1917  
11/13 10:55:33 - mmengine - INFO - Iter(test) [1250/2000]    eta: 1:27:24  time: 6.5134  data_time: 0.0016  memory: 17017  
11/13 11:00:45 - mmengine - INFO - Iter(test) [1300/2000]    eta: 1:21:14  time: 6.6722  data_time: 0.0016  memory: 1556  
11/13 11:06:16 - mmengine - INFO - Iter(test) [1350/2000]    eta: 1:15:17  time: 6.1630  data_time: 0.0016  memory: 17002  
11/13 11:11:58 - mmengine - INFO - Iter(test) [1400/2000]    eta: 1:09:28  time: 7.3176  data_time: 0.0015  memory: 17021  
11/13 11:17:16 - mmengine - INFO - Iter(test) [1450/2000]    eta: 1:03:29  time: 7.1936  data_time: 0.0016  memory: 17009  
11/13 11:22:38 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:57:35  time: 6.1619  data_time: 0.0016  memory: 720  
11/13 11:28:22 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:51:49  time: 6.6230  data_time: 0.0016  memory: 16952  
11/13 11:33:45 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:45:58  time: 6.5585  data_time: 0.0190  memory: 1600  
11/13 11:39:22 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:40:11  time: 6.1974  data_time: 0.0015  memory: 17024  
11/13 11:45:03 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:34:26  time: 6.6284  data_time: 0.0017  memory: 17015  
11/13 11:50:46 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:28:41  time: 6.5723  data_time: 0.0015  memory: 17004  
11/13 11:56:05 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:22:54  time: 6.7235  data_time: 0.0017  memory: 17004  
11/13 12:01:36 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:17:09  time: 6.6375  data_time: 0.0017  memory: 670  
11/13 12:06:50 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:11:25  time: 6.4048  data_time: 0.0016  memory: 17027  
11/13 12:12:29 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:05:42  time: 6.4217  data_time: 0.0016  memory: 17008  
11/13 12:17:49 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 5.9951  data_time: 0.0014  memory: 16956  
11/13 12:17:49 - mmengine - INFO - per class results:
11/13 12:17:49 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
+---------------------+-------+-------+
|         wall        | 72.04 | 88.32 |
|       building      | 78.24 | 93.61 |
|         sky         |  93.0 | 97.03 |
|        floor        |  76.6 | 87.92 |
|         tree        | 70.13 | 86.65 |
|       ceiling       | 80.65 | 89.19 |
|         road        | 79.54 | 90.27 |
|         bed         | 85.39 | 94.31 |
|      windowpane     | 54.45 | 76.51 |
|        grass        | 61.87 | 77.25 |
|       cabinet       | 53.64 | 66.71 |
|       sidewalk      | 56.42 | 67.03 |
|        person       | 73.28 | 88.64 |
|        earth        |  29.4 | 45.63 |
|         door        | 34.96 |  41.4 |
|        table        | 56.93 | 71.32 |
|       mountain      | 48.55 |  65.6 |
|        plant        | 46.48 | 58.17 |
|       curtain       | 60.68 |  81.3 |
|        chair        | 51.41 | 64.12 |
|         car         | 79.32 | 85.56 |
|        water        | 46.06 |  59.4 |
|       painting      | 68.08 | 78.48 |
|         sofa        | 62.16 |  82.2 |
|        shelf        | 38.25 | 57.12 |
|        house        | 28.14 | 30.73 |
|         sea         | 54.52 | 87.26 |
|        mirror       | 54.42 | 64.47 |
|         rug         | 53.48 | 66.28 |
|        field        | 19.68 | 34.64 |
|       armchair      | 36.49 | 44.81 |
|         seat        | 53.78 | 74.54 |
|        fence        | 32.17 | 47.85 |
|         desk        | 43.29 | 54.57 |
|         rock        | 34.06 | 50.54 |
|       wardrobe      | 38.17 | 52.39 |
|         lamp        | 59.96 | 69.33 |
|       bathtub       | 68.64 | 74.25 |
|       railing       | 28.48 | 38.45 |
|       cushion       | 49.22 | 63.24 |
|         base        | 24.04 | 30.13 |
|         box         | 13.47 | 18.27 |
|        column       | 38.94 | 49.05 |
|      signboard      | 27.61 | 33.99 |
|   chest of drawers  | 34.27 | 50.19 |
|       counter       | 13.46 | 18.38 |
|         sand        | 36.71 | 53.55 |
|         sink        | 63.38 | 75.17 |
|      skyscraper     | 27.22 | 32.62 |
|      fireplace      | 64.58 | 78.82 |
|     refrigerator    |  63.2 | 68.78 |
|      grandstand     | 32.79 | 62.09 |
|         path        | 21.27 | 25.66 |
|        stairs       | 32.95 | 36.85 |
|        runway       | 61.76 | 79.29 |
|         case        | 48.73 | 64.76 |
|      pool table     | 91.45 | 94.98 |
|        pillow       | 50.44 | 59.64 |
|     screen door     | 29.47 | 29.59 |
|       stairway      | 31.68 | 35.25 |
|        river        | 12.83 | 16.11 |
|        bridge       | 50.32 | 54.93 |
|       bookcase      | 32.79 | 38.35 |
|        blind        | 17.58 |  18.1 |
|     coffee table    | 58.45 | 76.41 |
|        toilet       | 78.33 | 83.34 |
|        flower       | 30.31 | 48.47 |
|         book        | 36.46 | 50.85 |
|         hill        |  4.41 |  7.23 |
|        bench        | 42.81 | 47.31 |
|      countertop     | 50.46 | 62.12 |
|        stove        |  67.0 | 73.06 |
|         palm        | 39.94 | 47.72 |
|    kitchen island   | 34.69 | 56.13 |
|       computer      | 47.77 |  53.1 |
|     swivel chair    | 43.58 | 57.62 |
|         boat        | 34.51 | 37.24 |
|         bar         | 22.25 | 24.72 |
|    arcade machine   | 41.73 | 46.48 |
|        hovel        | 27.76 | 41.44 |
|         bus         | 77.22 |  88.1 |
|        towel        | 45.62 | 55.43 |
|        light        | 43.36 | 51.53 |
|        truck        | 20.23 | 28.61 |
|        tower        |  8.39 |  11.6 |
|      chandelier     |  62.8 | 78.87 |
|        awning       | 24.21 | 27.63 |
|     streetlight     | 18.31 | 23.32 |
|        booth        | 34.22 | 36.59 |
| television receiver |  46.5 | 63.47 |
|       airplane      | 47.05 | 61.39 |
|      dirt track     |  7.88 | 18.01 |
|       apparel       | 25.57 | 41.09 |
|         pole        | 14.91 | 21.72 |
|         land        |  1.04 |  1.31 |
|      bannister      |  1.52 |  1.75 |
|      escalator      | 12.14 | 12.34 |
|       ottoman       |  38.8 | 49.46 |
|        bottle       | 15.94 | 19.44 |
|        buffet       | 34.16 | 37.45 |
|        poster       |  17.1 | 20.63 |
|        stage        |  7.73 | 12.49 |
|         van         | 40.64 | 50.34 |
|         ship        | 67.54 | 68.97 |
|       fountain      | 13.46 | 17.64 |
|    conveyer belt    | 76.09 |  84.0 |
|        canopy       | 10.82 | 11.59 |
|        washer       | 50.98 | 52.43 |
|      plaything      | 26.32 | 37.23 |
|    swimming pool    | 23.32 | 36.93 |
|        stool        | 30.29 | 44.33 |
|        barrel       | 43.85 | 62.74 |
|        basket       |  24.0 | 27.32 |
|      waterfall      | 49.81 | 81.81 |
|         tent        | 88.51 | 97.51 |
|         bag         |  5.24 |  5.52 |
|       minibike      | 62.74 | 72.47 |
|        cradle       | 69.64 |  96.9 |
|         oven        | 24.17 | 26.63 |
|         ball        | 38.06 | 65.53 |
|         food        | 44.49 | 58.48 |
|         step        |  9.72 | 11.24 |
|         tank        |  28.6 | 29.49 |
|      trade name     | 13.45 | 13.92 |
|      microwave      | 31.59 | 33.49 |
|         pot         |  39.0 | 44.16 |
|        animal       | 51.65 | 54.15 |
|       bicycle       | 43.89 | 53.34 |
|         lake        | 34.07 | 63.31 |
|      dishwasher     | 62.17 | 63.26 |
|        screen       | 33.99 | 43.25 |
|       blanket       |  3.61 |  3.86 |
|      sculpture      | 17.53 | 20.52 |
|         hood        | 51.32 |  56.1 |
|        sconce       | 33.48 | 41.14 |
|         vase        | 32.54 | 42.21 |
|    traffic light    | 22.42 | 29.15 |
|         tray        |  4.96 |  8.74 |
|        ashcan       | 29.83 | 35.93 |
|         fan         | 48.23 | 59.92 |
|         pier        | 11.12 | 11.81 |
|      crt screen     |  2.2  |  2.9  |
|        plate        | 37.49 |  43.4 |
|       monitor       | 58.54 | 74.86 |
|    bulletin board   | 28.86 | 34.23 |
|        shower       |  0.98 |  1.89 |
|       radiator      | 41.46 | 47.35 |
|        glass        |  5.52 |  5.69 |
|        clock        | 21.61 | 24.35 |
|         flag        | 23.16 |  24.1 |
+---------------------+-------+-------+
11/13 12:17:49 - mmengine - INFO - Iter(test) [2000/2000]    aAcc: 79.1500  mIoU: 40.0700  mAcc: 49.4900  data_time: 0.0033  time: 6.8382
Finished processing corruption type: glass_blur
Processing corruption type: motion_blur
11/13 12:19:53 - mmengine - INFO - 
------------------------------------------------------------
System environment:
    sys.platform: linux
    Python: 3.8.20 (default, Oct  3 2024, 15:24:27) [GCC 11.2.0]
    CUDA available: True
    MUSA available: False
    numpy_random_seed: 2105210283
    GPU 0: Tesla V100-SXM2-32GB
    CUDA_HOME: /opt/bwhpc/common/devel/cuda/11.7
    NVCC: Cuda compilation tools, release 11.7, V11.7.99
    GCC: gcc (GCC) 8.5.0 20210514 (Red Hat 8.5.0-18)
    PyTorch: 1.13.1
    PyTorch compiling details: PyTorch built with:
  - GCC 9.3
  - C++ Version: 201402
  - Intel(R) oneAPI Math Kernel Library Version 2021.4-Product Build 20210904 for Intel(R) 64 architecture applications
  - Intel(R) MKL-DNN v2.6.0 (Git Hash 52b5f107dd9cf10910aaa19cb47f3abf9b349815)
  - OpenMP 201511 (a.k.a. OpenMP 4.5)
  - LAPACK is enabled (usually provided by MKL)
  - NNPACK is enabled
  - CPU capability usage: AVX2
  - CUDA Runtime 11.7
  - NVCC architecture flags: -gencode;arch=compute_37,code=sm_37;-gencode;arch=compute_50,code=sm_50;-gencode;arch=compute_60,code=sm_60;-gencode;arch=compute_61,code=sm_61;-gencode;arch=compute_70,code=sm_70;-gencode;arch=compute_75,code=sm_75;-gencode;arch=compute_80,code=sm_80;-gencode;arch=compute_86,code=sm_86;-gencode;arch=compute_37,code=compute_37
  - CuDNN 8.5
  - Magma 2.6.1
  - Build settings: BLAS_INFO=mkl, BUILD_TYPE=Release, CUDA_VERSION=11.7, CUDNN_VERSION=8.5.0, CXX_COMPILER=/opt/rh/devtoolset-9/root/usr/bin/c++, CXX_FLAGS= -fabi-version=11 -Wno-deprecated -fvisibility-inlines-hidden -DUSE_PTHREADPOOL -fopenmp -DNDEBUG -DUSE_KINETO -DUSE_FBGEMM -DUSE_QNNPACK -DUSE_PYTORCH_QNNPACK -DUSE_XNNPACK -DSYMBOLICATE_MOBILE_DEBUG_HANDLE -DEDGE_PROFILER_USE_KINETO -O2 -fPIC -Wno-narrowing -Wall -Wextra -Werror=return-type -Werror=non-virtual-dtor -Wno-missing-field-initializers -Wno-type-limits -Wno-array-bounds -Wno-unknown-pragmas -Wunused-local-typedefs -Wno-unused-parameter -Wno-unused-function -Wno-unused-result -Wno-strict-overflow -Wno-strict-aliasing -Wno-error=deprecated-declarations -Wno-stringop-overflow -Wno-psabi -Wno-error=pedantic -Wno-error=redundant-decls -Wno-error=old-style-cast -fdiagnostics-color=always -faligned-new -Wno-unused-but-set-variable -Wno-maybe-uninitialized -fno-math-errno -fno-trapping-math -Werror=format -Werror=cast-function-type -Wno-stringop-overflow, LAPACK_INFO=mkl, PERF_WITH_AVX=1, PERF_WITH_AVX2=1, PERF_WITH_AVX512=1, TORCH_VERSION=1.13.1, USE_CUDA=ON, USE_CUDNN=ON, USE_EXCEPTION_PTR=1, USE_GFLAGS=OFF, USE_GLOG=OFF, USE_MKL=ON, USE_MKLDNN=ON, USE_MPI=OFF, USE_NCCL=ON, USE_NNPACK=ON, USE_OPENMP=ON, USE_ROCM=OFF, 

    TorchVision: 0.14.1
    OpenCV: 3.4.18
    MMEngine: 0.10.5

Runtime environment:
    cudnn_benchmark: True
    mp_cfg: {'mp_start_method': 'fork', 'opencv_num_threads': 0}
    dist_cfg: {'backend': 'nccl'}
    seed: 2105210283
    Distributed launcher: none
    Distributed training: False
    GPU number: 1
------------------------------------------------------------

11/13 12:19:53 - mmengine - INFO - Config:
crop_size = (
    512,
    512,
)
data_preprocessor = dict(
    bgr_to_rgb=True,
    corruption=False,
    mean=[
        123.675,
        116.28,
        103.53,
    ],
    pad_val=0,
    seg_pad_val=255,
    std=[
        58.395,
        57.12,
        57.375,
    ],
    type='SegDataPreProcessor')
data_root = 'data/ade/ADEChallengeData2016'
dataset_type = 'ADE20KDataset'
default_hooks = dict(
    checkpoint=dict(by_epoch=False, interval=16000, type='CheckpointHook'),
    logger=dict(interval=50, log_metric_by_epoch=False, type='LoggerHook'),
    param_scheduler=dict(type='ParamSchedulerHook'),
    sampler_seed=dict(type='DistSamplerSeedHook'),
    timer=dict(type='IterTimerHook'),
    visualization=dict(type='SegVisualizationHook'))
default_scope = 'mmseg'
env_cfg = dict(
    cudnn_benchmark=True,
    dist_cfg=dict(backend='nccl'),
    mp_cfg=dict(mp_start_method='fork', opencv_num_threads=0))
img_ratios = [
    0.5,
    0.75,
    1.0,
    1.25,
    1.5,
    1.75,
]
launcher = 'none'
load_from = '../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth'
log_level = 'INFO'
log_processor = dict(by_epoch=False)
model = dict(
    auxiliary_head=dict(
        align_corners=False,
        channels=256,
        concat_input=False,
        dropout_ratio=0.1,
        in_channels=1024,
        in_index=2,
        loss_decode=dict(
            loss_weight=0.4, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        num_convs=1,
        type='FCNHead'),
    backbone=dict(
        contract_dilation=True,
        depth=101,
        dilations=(
            1,
            1,
            2,
            4,
        ),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        norm_eval=False,
        num_stages=4,
        out_indices=(
            0,
            1,
            2,
            3,
        ),
        strides=(
            1,
            2,
            1,
            1,
        ),
        style='pytorch',
        type='ResNetV1c'),
    data_preprocessor=dict(
        bgr_to_rgb=True,
        corruption='motion_blur',
        mean=[
            123.675,
            116.28,
            103.53,
        ],
        pad_val=0,
        seg_pad_val=255,
        size=(
            512,
            512,
        ),
        std=[
            58.395,
            57.12,
            57.375,
        ],
        type='SegDataPreProcessor'),
    decode_head=dict(
        align_corners=False,
        channels=512,
        dropout_ratio=0.1,
        in_channels=2048,
        in_index=3,
        loss_decode=dict(
            loss_weight=1.0, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        pool_scales=(
            1,
            2,
            3,
            6,
        ),
        type='PSPHead'),
    pretrained='open-mmlab://resnet101_v1c',
    test_cfg=dict(mode='whole'),
    train_cfg=dict(),
    type='EncoderDecoder')
norm_cfg = dict(requires_grad=True, type='SyncBN')
optim_wrapper = dict(
    clip_grad=None,
    optimizer=dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005),
    type='OptimWrapper')
optimizer = dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005)
param_scheduler = [
    dict(
        begin=0,
        by_epoch=False,
        end=160000,
        eta_min=0.0001,
        power=0.9,
        type='PolyLR'),
]
resume = False
test_cfg = dict(type='TestLoop')
test_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
test_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
test_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(keep_ratio=True, scale=(
        2048,
        512,
    ), type='Resize'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(type='PackSegInputs'),
]
train_cfg = dict(
    max_iters=160000, type='IterBasedTrainLoop', val_interval=16000)
train_dataloader = dict(
    batch_size=4,
    dataset=dict(
        data_prefix=dict(
            img_path='images/training', seg_map_path='annotations/training'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(
                keep_ratio=True,
                ratio_range=(
                    0.5,
                    2.0,
                ),
                scale=(
                    2048,
                    512,
                ),
                type='RandomResize'),
            dict(
                cat_max_ratio=0.75, crop_size=(
                    512,
                    512,
                ), type='RandomCrop'),
            dict(prob=0.5, type='RandomFlip'),
            dict(type='PhotoMetricDistortion'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=True, type='InfiniteSampler'))
train_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(
        keep_ratio=True,
        ratio_range=(
            0.5,
            2.0,
        ),
        scale=(
            2048,
            512,
        ),
        type='RandomResize'),
    dict(cat_max_ratio=0.75, crop_size=(
        512,
        512,
    ), type='RandomCrop'),
    dict(prob=0.5, type='RandomFlip'),
    dict(type='PhotoMetricDistortion'),
    dict(type='PackSegInputs'),
]
tta_model = dict(type='SegTTAModel')
tta_pipeline = [
    dict(backend_args=None, type='LoadImageFromFile'),
    dict(
        transforms=[
            [
                dict(keep_ratio=True, scale_factor=0.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=0.75, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.0, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.25, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.75, type='Resize'),
            ],
            [
                dict(direction='horizontal', prob=0.0, type='RandomFlip'),
                dict(direction='horizontal', prob=1.0, type='RandomFlip'),
            ],
            [
                dict(type='LoadAnnotations'),
            ],
            [
                dict(type='PackSegInputs'),
            ],
        ],
        type='TestTimeAug'),
]
val_cfg = dict(type='ValLoop')
val_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
val_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
vis_backends = [
    dict(type='LocalVisBackend'),
]
visualizer = dict(
    name='visualizer',
    type='SegLocalVisualizer',
    vis_backends=[
        dict(type='LocalVisBackend'),
    ])
work_dir = '../corruptions/work_dirs/ade20k/pspnet/pspnet_r101-d8_4xb4-160k_ade20k-512x512/motion_blur'

Number of parameters:  68068492
